name;description;category;tags;creationyear;address;postcode;city;geo_point_2d;url;twitter;googleplus;facebook
SnapCar;Snapcar est une application mobile connectée à un réseau de voitures avec chauffeur.;Entreprise;"mobile;voitureavecchauffeur";2012;La Boursidière;92350;Le Plessis Robinson;48.773502, 2.240701;http://www.snapcar.com;snapcar;;https://www.facebook.com/SnapCar
FamiliaGames;FamiliaGames développe des jeux trans-générationnels sur réseaux sociaux, mobiles et tablettes pour le grand public et la famille.;Entreprise;"jeu;mobile;socialgaming";2011;44 rue Escudier;92100;Boulogne-Billancourt;48.843588, 2.238422;http://www.familiagames.com;;;
Paypal;PayPal permet à une entreprise ou un utilisateur disposant d'une adresse email d'envoyer et de recevoir des paiements en ligne de manière pratique, sécurisée et peu coûteuse.;Entreprise;"paiement;ecommerce";1998;21 rue de la Banque;75002;Paris;48.86834, 2.34116;http://www.paypal.com;PayPal;https://plus.google.com/+paypal;https://www.facebook.com/PayPal
FOODISCOVER;Le meilleur de nos producteurs livré tous les mois dans votre boîte aux lettres. Sélections réalisées par des chefs reconnus.;Entreprise;;2012;9 Avenue Percier;75008 PARIS;;48.8726189283, 2.33562469482;http://www.foodiscover.com;foodiscover;;https://www.facebook.com/pages/Foodiscover/407527989283012
Décideurs TV;Décideurs TV est une Web TV pour les professionnels où les décideurs parlent aux décideurs.;Entreprise;"webtv;video";2007;33 rue des Jeuneurs;75002;Paris;48.869671, 2.34412;http://www.decideurstv.com;DECIDEURSTV;;https://www.facebook.com/Decideurstv
HackEns;hackEns est un club du COF de l'École Normale Supérieure dont le but est de rassembler des gens motivés pour travailler sur des projets de type hackerspace ou fablab.;Tiers-lieu;"hackerspace;fablab";;45 rue d'Ulm;75005;Paris;48.841837, 2.344034;http://hackens.org;;;
Technilog;Editeur de logiciel en informatique industrielle, TECHNILOG propose des solutions d’acquisition, distribution, d’exploitation et d’historisation de données  réparties.;Entreprise;energie;1985;Domaine Saint Paul 102 route de Limours;78470;Saint-Remy-Les-Chevreuse;48.6934848, 2.066829;http://www.technilog.com;;;
Atrium Data;Audit et Conseil pour les Data Centres + R&D dans le domaine des économies d'énergie et la modularité des Data Centres;Entreprise;ocds;2007;54 avenue Hoche;75008;Paris;48.8750402, 2.2976245;http://www.atriumdata.com;;;
Mondeca;Mondeca est un éditeur de logiciel spécialisé dans les solutions d'organisation et d'accès aux informations, connaissances et contenus multimédia.;Entreprise;"semantique;ged";2000;3 cité Nollez;75018;Paris;48.893742, 2.33746;http://www.mondeca.com;mondecanews;;http://www.linkedin.com/company/64279
Art Graphique et Patrimoine;Art Graphique et Patrimoine est une entreprise spécialisée dans le patrimoine culturel, historique et monumental. Ses départements photogrammétrie et multimédia offrent leurs services à tous les acteurs du patrimoine.;Entreprise;"culture;realiteaugmentee;multimedia";1994;15 avenue Jean-Jaurès;94340;Joinville-le-Pont;48.821629, 2.46454;http://www.artgp.fr;;;
Nenuphar Development;Nenuphar Development crée des applications pour smartphone et tablette (iOS et Androïd) et propose notamment bdBuzz, shop et gestion de collection de BD numériques.;Entreprise;"apps;mobile;bandedessinee";2011;23 rue du Départ;75014;Paris;48.842258, 2.32299;http://www.nenuphar-development.com;;;https://www.facebook.com/pages/bdBuzz-page-officielle/169925583078795
Bookeen;Bookeen développe le marché du livre électronique en fournissant des systèmes dédiés à la lecture numérique.;Entreprise;"ebook;liseuse;equipement";2003;27 rue de la Vistule;75013;Paris;48.822891, 2.35879;http://www.bookeen.com;BookeenTeam;;https://www.facebook.com/Bookeen
Citizen Box;Citizen Box est un espace de coworking propulsé par Paris Mix, grappe d'entreprises Musique et Innovation, ouvert aux travailleurs indépendants soucieux de développer leurs projets et parcours professionnels.;Tiers-lieu;"coworking;musique";2013;146 rue des Poissonniers;75018;Paris;48.897072, 2.35271;http://www.citizenbox.fr;;;
Télécom Ecole de Management;Télécom Ecole de Management est une école de commerce en phase avec les nouvelles technologies : : marketing numérique, réseaux sociaux, web, systèmes d’information.;École;"manager;technologie";1979;9 rue Charles Fourier;91011;Evry;48.62356, 2.44441;http://www.telecom-em.eu;TelecomEM;;https://www.facebook.com/Temfanpage
EEMI;L'Ecole Européenne des Métiers de l'Internet propose un cursus sur-mesure pour former à ces métiers : web marketeur, développeur, intégrateur, community manager, web designer, chef de projet, etc.;École;"internet;metiers";2011;28 place de la Bourse;75002;Paris;48.869508, 2.341908;http://www.eemi.com;EEMI75;;https://www.facebook.com/eemi75
AB-IT;Conseils et Services en Ingénierie Informatique. Membre de seineouestdigital.fr;Entreprise;;2008;251 rue Jean Jaques Rousseau;92130;issy les moulineaux;48.8222932397, 2.25520133972;http://www.ab-it.fr/accueil.html;;;
Anybox;Anybox est spécialisée dans les applications pour entreprises, associations, administrations, collectivités territoriales, grâce à une expertise sur le logiciel OpenERP.;Entreprise;"OpenERP;Python";2010;14-16 rue soleillet;75020;Paris;48.865719995, 2.392019997;http://anybox.fr;anybox;https://plus.google.com/u/0/b/107389966280223349552/107389966280223349552/posts;https://www.facebook.com/pages/Anybox/169837443059207
EDD;EDD administre la1ère plate-forme de presse française numérique, au service des éditeurs, des rediffuseurs spécialisés et des professionnels de l’information : communicants, documentalistes et tous les décideurs concernés.;Entreprise;"presse;veille";1985;28, boulevard de port royal;75005;paris;48.837177259, 2.348413179;www.edd.fr;;;
DigitaleBox;DigitaleBox est le logiciel de campagne web pour les associations et ONG, les candidats et organisations politiques, les entreprises et administrations;Entreprise;"data;web";2013;20 rue Chartran;92200;Neuilly sur Seine;48.886715133, 2.262926024;http://digitalebox.fr/;digitalebox;;https://www.facebook.com/digitalebox
Tinubu square;Plateforme SaaS en gestion du risque client. Membre de seineouestdigital.fr;Entreprise;;2001;1, rue Gaston et René Caudron;92130;Issy les moulineaux;48.829262502, 2.265349781;http://www.tinubu.com/;;;
AHEAD SOLUTIONS;Éditeur d'applications et solutions mobiles, agence de publicité sur mobile;Entreprise;"Mobile;Marketing;apps";2010;16 rue guillaume tell;75017;paris;48.884153649, 2.293922029;http://ahead-solutions.com/;aheadsolutions;https://plus.google.com/111989686610796349731;http://www.facebook.com/pages/Ahead-Solutions/186858731331648
Core-Techs;Core-Techs est un intégrateur Open Source capable de vous proposer des solutions numériques et digitales innovantes, exploitant des solutions de gestion de contenu (CMS) telles que Drupal, eZpublish, Magento, Wordpress, Zend, ...;Entreprise;"opensource;integration;developpement";2005;218 avenue Jean Jaurès;75019;Paris;48.888908, 2.39353;http://www.core-techs.fr;core_techs;;https://www.facebook.com/pages/Core-Techs/321845547937
BorderCloud;BorderCloud propose un service d’hébergement de données sémantiques, des formations et un service de conseils pour l’application du Web des données dans tous les domaines d’activité.;Entreprise;websemantique;2008;245 quai de stalingrad;92130;Issy les moulineaux;48.8726189283, 2.33562469482;http://www.bordercloud.com/;@BorderCloudInfo;;
@fbourboulon Conseil;Conseil en stratégies de contenus numériques.;Prestataire;"Contenus;Editorial;Conseil";2013;5 rue d'Alger;75001;Paris;48.865189996, 2.329690002;https://www.vizify.com/francois-bourboulon/twitter-video;fbourboulon;https://plus.google.com/u/0/103445614081468990728/;https://www.facebook.com/pages/fbourboulon-Conseil/483155121705873?ref=hl
Star-Apic;Star-Apic est un éditeur de logiciels dans le domaine de la gestion cartographique du territoire et de ses infrastructures.;Entreprise;sig;1983;191 avenue Aristide Briand;94230;Cachan;48.788158, 2.31877;http://www.star-apic.com;starapic;;http://www.facebook.com/StarApic
Geoconcept;Editeur de Systèmes d'Information Géographique (SIG), logiciels de géomarketing et logiciels d'optimisation géographique.;Entreprise;securite;1990;52 avenue Aristide Briand;92220;Bagneux;48.8033012, 2.3244706;http://www.geoconcept.com;;;
Ezako;Ezako est le spécialiste de l'analyse approfondie des données. Grâce à nos services vous affinerez l'exploitation de vos données pour mieux comprendre où en sont vos activités et vous pourrez prendre les bonnes décisions pour les développer.;Entreprise;ambition-pme;2011;98 rue de Sevres;75007;Paris;48.8461188, 2.3140724;http://www.ezako.com;;;
Areva Ta;"La propulsion nucléaire navale; la société produit et assure la maintenance des réacteurs nucléaires de propulsion navale des sous-marins et des porte-avions de la flotte militaire.";Entreprise;"transport;ocds";2009;Route de Saint AubinLieu dit les Hautes Rives;91190;Villiers-Le-Bâcle;48.725782, 2.125206;http://www.areva.com;;;
Steaw;Steaw est un studio de webdesign.;Prestataire;webdesign;2008;46 rue Sainte-Anne;75002;Paris;48.867458, 2.33608;http://www.steaw-webdesign.com;;;
Everwin;Everwin développe et propose des logiciels de gestion d’affaires et des ERP pour sociétés de services.;Entreprise;"logiciel;ERP";1995;5 rue de l'Amiral Courbet;94160;Saint-Mandé;48.845402, 2.41694;http://www.everwin.fr;;;
IngéSup Paris;IngéSup est l'école supérieure d'ingénierie informatique : elle forme des ingénieurs en informatique et systèmes d'information.;École;"ingenieur;informatique";1984;139 rue des Pyrénées;75020;Paris;48.85844, 2.40298;http://www.ingesup.com;Ingesup;;https://www.facebook.com/ingesup
Le Loop;Le Loop, Laboratoire Ouvert Ou Pas, est un hackerspace sans lieu fixe qui accueille barbus, curieux et projets créatifs.;Tiers-lieu;hackerspace;;Avenue Lucien Descaves;75014;Paris;48.817696, 2.332472;http://www.leloop.org;Le_Loop;;
Mobilis-Immobilis;Cie danse et multimedia. Membre de seineouestdigital.fr;Entreprise;;1998;45, rue Anatole France;92370;Chaville;48.802337685, 2.188397036;http://www.mobilisimmobilis.com/;;;
test;test;Entreprise;;2013;10 av des champs elysees;;;48.8726189283, 2.33562469482;http://www.test.com;;;
Trochet;Dans le secteur de l'aéronautique, l'entreprise TROCHET AMGGC est spécialisée dans la mécanique de haute précision.;Entreprise;ocds;1985;14 rue des Petits Champs;78500;Sartrouville;48.9500407, 2.18372;;;;
Zodianet;;Entreprise;telecoms;2005;23 rue des Fraisettes;91120;Palaiseau;48.7263611, 2.2309604;http://www.zodianet.com;;;
Je Rêve d'une Maison;Jerevedunemaison.com est le 1er site web grand public dédié aux acheteurs de résidences secondaires de qualité, seul(e) ou à plusieurs.;Entreprise;"immobilier;vacances;collaboratif";2013;40 rue de Moscou;75008;Paris;48.881565769, 2.322993631;http://www.jerevedunemaison.com/;revedunemaison;https://plus.google.com/102419670734535914766;http://www.facebook.com/JeReveduneMaison
RapidHalal;Le 1er site internet de livraison halal au bureau ou chez soi!\\\\\\\\n RapidHalal souhaite devenir le leader Français de la livraison Halal à domicile. Rapid Halal regroupe les cartes et menus des meilleurs restaurants Halal en livraison.;Entreprise;;2013;111 avenue Victor Hugo;75784 Paris Cedex 16;;48.868583535, 2.28281172;http://www.rapidhalal.fr;rapidhalal;;https://www.facebook.com/rapidhalal
BnbSitter;Réservez en moins de deux minutes un service de remise et reprise de clés, lavage du linge et ménage professionnel pour votre location de courte durée.;Entreprise;;2013;21;Place de la République 75003 PAris;;48.867844238, 2.362445021;http://www.bnbsitter.com;bnbsitter;https://plus.google.com/109084247928786828149/posts;https://www.facebook.com/bnbsitter
Pilot Systems Consulting;D'abord spécialisée dans les technologies web Python, Zope et Plone, Pilot Systems a acquis une expertise dans les domaines : annuaire, banque en ligne, messagerie, sécurité, hébergement applicatif et administration système.;Entreprise;opensource;1999;82 rue Pixerecourt;75020;Paris;48.8747346, 2.3956694;http://www.pilotsystems.net;;;
Deways;Deways est une plateforme communautaire de location de voitures entre particuliers.;Entreprise;"carsharing;economiecollaborative;autopartage";2010;12 rue Riquet;75019;Paris;48.88829, 2.37567;http://www.deways.com;deways_fr;;https://www.facebook.com/deways.fr
E-artsup;E-artsup, école supérieure de la création numérique et du multimédia, vise à travers ses différentes filières à former des managers créatifs et passionnés.;École;"designer;interactif;manager";2001;24 rue Pasteur;94270;Kremlin Bicêtre;48.815399, 2.36309;http://www.e-artsup.net;Eartsup;https://plus.google.com/117993560968128170083;https://www.facebook.com/eartsup
Drivy;Drivy est un service de location de voiture entre particuliers;Entreprise;"location;voiture;particulier";2010;7 impasse Charles Petit;75011;Paris;48.851237261, 2.385231222;http://www.drivy.com;drivy;;https://www.facebook.com/pages/Drivy/373802739100
Wepingo;Wepingo est un assistant shopping personnel.;Entreprise;"shopping;assistantpersonnel";2012;80 rue des Haies;75020;Paris;48.854858, 2.40352;http://www.wepingo.fr;Wepingo;;https://www.facebook.com/Wepingo
Syrokko;SYROKKO, éditeur innovant de logiciels de datamining;Entreprise;ocds;2004;5, rue de Copenhague, Aéroport de Roissy Bât Aéronef;95731;Roissy-Charles-De-Gaulle;49.004, 2.5711;http://www.syrokko.com/;;;
Incubateur de l'Institut de la Vision;Incubateur et pépinière d’entreprises dans le domaine du handicap sensoriel, l'incubateur de l'Institut de la Vision est un tremplin pour les entreprises développant des technologies et services innovants au bénéfice des patients.;Incubateur;;2010;17 rue Moreau;75012;Paris;48.8726189283, 2.33562469482;http://www.institut-vision.org;;;
EPressPack;ePressPack est spécialisée dans les solutions de communication multicanale et multimedia.\\n;Entreprise;"multicanal;communication;multimedia";2011;80 rue des Haies;75020;Paris;48.854858, 2.40352;http://www.epresspack.com;;;
Hlp Technologies;HLP Technologies est une société d'ingénierie en électronique informatique industrielle et scientifque. Elle conçoit et développe des produits ou solutions de haute technicité pour ses clients dans le monde de l'industrie et de la recherche;Entreprise;ocds;1988;35 rue Tournefort;75005;Paris;48.8422737, 2.3482556;http://www.hlp.fr;;;
ADCUITIES;ADCUITIES est une plateforme digitale dédiée au secteur de l'optique-lunetterie. Vous pouvez l'utiliser pour communiquer et engager le consommateur avec vos marques, générer du trafic en points de vente.;Entreprise;;2012;71 bis rue du Cardinal Lemoine;75005 PARIS;;48.845536155, 2.350280163;http://www.opticshopping.com/;opticshopping;https://plus.google.com/105740358901889228675/posts;https://www.facebook.com/opticshopping
Proengin;Développement d’un système robotisé de contrôle non destructif par ultrasons. La société assure la distribution d’appareils de contrôle ultrasonore de différents types.;Entreprise;securite;1973;1 rue de L Industrie;78210;St-Cyr-L-Ecole;48.7962099, 2.0562397;http://www.proengin.com;;;
Alneos;ALNEOS est une société d'expertise en ingénierie et en informatique scientifique intervenant dans le domaine de la mécanique des structures.;Entreprise;ocds;2008;196 rue Houdan;92330;Sceaux;48.7792053, 2.2818962;;;;
Ça c'est fait;Production Audiovisuelle & Communication. Membre de seineouestdigital.fr;Entreprise;;2010;4 rue du chemin vert;92130;Issy les moulineaux;48.814377344, 2.272197689;http://www.cacestfait.fr/;;;
Artlab;Le Artlab est un lieu de recherche, de développement et de prototypage rassemblant des artistes et des techniciens dans une démarche créative et collaborative.;Tiers-lieu;"art;fablab";;13 rue des Ecluse Saint-Martin;75010;Paris;48.87685, 2.36669;http://www.digitalarti.com/blog/artlab;digitalarti_fr;;
TrustMission;TrustMission est un tiers de confiance et un opérateur de solutions de correspondance globale assurant la sécurité, la valeur probante et l’opposabilité juridique du contenu des correspondances professionnelles.;Entreprise;"tiersdeconfiance;securite";1999;20 rue Laffitte;75009;Paris;48.87289, 2.33758;http://www.trustmission.com;;;
My Elefant;My Elefant est une agence digitale tournée vers les nouveaux usages du web et le multimedia mobile.;Entreprise;agence;2010;32 rue Guy Moquet;92240;Malakoff;48.816872, 2.3006;http://www.myelefant.com;_myelefant_;;
Agence Propal;L'Agence Propal est une agence digitale spécialiste de Drupal qui offre développement, conseil et expertise.;Prestataire;"developpement;drupal";;57 boulevard Barbès;75018;Paris;48.889542, 2.34958;http://www.propal.net;;;
Apila;Apila est une application mobile communautaire et en temps réel pour trouver des places de stationnement dans la rue.;Entreprise;"geolocalisation;mobile;stationnement";2010;15 rue Jean-Baptiste Berlier;75013;Paris;48.825661, 2.3835;http://www.apila.fr;ApilaTweet;;https://www.facebook.com/pages/Apila/10150119667740335
IRT System X;;Entreprise;energie;2012;avenue de la Vauve, BP 30012;91120;Palaiseau;48.714509, 2.245748;http://www.irt-systemx.fr;;;
Mobigame;Mobigame est une société qui développe, édite et distribue des jeux vidéo pour téléphones mobiles.;Entreprise;"jeu;mobile";2004;85 boulevard Pasteur;75015;Paris;48.839475, 2.316045;http://www.mobigame.net;mobigame;;https://www.facebook.com/pages/Mobigame/143172829084267
ESIEA;L'Ecole Supérieure d'Informatique Electronique Automatique forme des ingénieurs généralistes des sciences et technologies du numérique, adaptables à leur environnement technique et humain, ainsi qu’aux exigences des différents secteurs d’activité.;École;"ingenieur;numerique";1958;72 avenue Maurice Thorez;94200;Ivry sur Seine;48.814911, 2.37831;http://www.esiea.fr;GroupeESIEA;https://plus.google.com/105172779855073708268;https://www.facebook.com/esiea
Miratech;Miratech est une entreprise d’ergonomie web et de conception centrée utilisateurs qui intervient sur tous les types d'interfaces numériques.;Prestataire;"ergonomie;etude;usercentric";2005;14 rue d'Uzès;75002;Paris;48.8708, 2.34321;http://www.miratech.fr;miratech;;
ID.Apps;iD.apps développe des applications mobiles multiplateformes : iOS / Android / Windows Phone - Web/Mobile. Membre de seineouestdigital.fr;Entreprise;"applis;Ipad;Android";2012;130 rue de Silly;92100;Boulogne;48.833804614, 2.23324532;http://www.id-apps.fr/;@iD_apps;;https://www.facebook.com/pages/iDapps/158977467504586
Neko Entertainment;Neko développe des jeux vidéos pour tout support à partir de sa technologie Neko Game Development Kit.;Entreprise;jeu;1999;18 rue Soleillet;75020;Paris;48.865629, 2.392446;http://www.e-neko.com;;;https://www.facebook.com/pages/Neko-Entertainment/39766596594
C&K;\\nC&K Components is a leader in interface and switch technology as well as smart card and high reliability connector products.;Entreprise;ocds;1964;2, boulevard Michael Faradayarlington square bat B;77716;Serris-Marne-La-Vallee;48.84432, 2.788231;http://www.ck-components.com;;;
